date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
02:42:16	63805/63805	---M--	200	added ('OK')	text/html	etag:%22602bb128-f93d%22	https://preview.itgeeksin.com/baby-house-html/demo1/index.html	C:/Users/Orange/Desktop/rama/Rama4/preview.itgeeksin.com/baby-house-html/demo1/index.html	(from )
02:42:17	658/658	---M--	500	error ('Internal%20Server%20Error')	text/html	date:Fri,%2023%20Aug%202024%2023:42:17%20GMT	https://preview.itgeeksin.com/robots.txt		(from )
02:42:17	2805/2805	---M--	200	added ('OK')	image/vnd.microsoft.icon	etag:%22602bb12a-af5%22	https://preview.itgeeksin.com/baby-house-html/demo1/assets/img/favicon.ico	C:/Users/Orange/Desktop/rama/Rama4/preview.itgeeksin.com/baby-house-html/demo1/assets/img/favicon.ico	(from https://preview.itgeeksin.com/baby-house-html/demo1/index.html)
02:42:18	2465/2465	---M--	200	added ('OK')	text/css	etag:%22602bb128-9a1%22	https://preview.itgeeksin.com/baby-house-html/demo1/main.css	C:/Users/Orange/Desktop/rama/Rama4/preview.itgeeksin.com/baby-house-html/demo1/main.css	(from https://preview.itgeeksin.com/baby-house-html/demo1/index.html)
02:42:18	3913/3913	---M--	200	added ('OK')	image/png	etag:%22602bb12a-f49%22	https://preview.itgeeksin.com/baby-house-html/demo1/assets/img/logo.png	C:/Users/Orange/Desktop/rama/Rama4/preview.itgeeksin.com/baby-house-html/demo1/assets/img/logo.png	(from https://preview.itgeeksin.com/baby-house-html/demo1/index.html)
02:42:18	29664/29664	---M--	200	added ('OK')	text/html	etag:%22602bb12a-73e0%22	https://preview.itgeeksin.com/baby-house-html/demo1/about-us.html	C:/Users/Orange/Desktop/rama/Rama4/preview.itgeeksin.com/baby-house-html/demo1/about-us.html	(from https://preview.itgeeksin.com/baby-house-html/demo1/index.html)
02:42:19	35535/35535	---M--	200	added ('OK')	text/html	etag:%22602bb128-8acf%22	https://preview.itgeeksin.com/baby-house-html/demo1/staff-detail.html	C:/Users/Orange/Desktop/rama/Rama4/preview.itgeeksin.com/baby-house-html/demo1/staff-detail.html	(from https://preview.itgeeksin.com/baby-house-html/demo1/index.html)
02:42:19	26374/26374	---M--	200	added ('OK')	text/html	etag:%22602bb12a-6706%22	https://preview.itgeeksin.com/baby-house-html/demo1/gallery.html	C:/Users/Orange/Desktop/rama/Rama4/preview.itgeeksin.com/baby-house-html/demo1/gallery.html	(from https://preview.itgeeksin.com/baby-house-html/demo1/index.html)
02:42:19	20676/20676	---M--	200	added ('OK')	text/html	etag:%22602bb12a-50c4%22	https://preview.itgeeksin.com/baby-house-html/demo1/error.html	C:/Users/Orange/Desktop/rama/Rama4/preview.itgeeksin.com/baby-house-html/demo1/error.html	(from https://preview.itgeeksin.com/baby-house-html/demo1/index.html)
02:42:19	20821/20821	---M--	200	added ('OK')	text/html	etag:%22602bb128-5155%22	https://preview.itgeeksin.com/baby-house-html/demo1/register.html	C:/Users/Orange/Desktop/rama/Rama4/preview.itgeeksin.com/baby-house-html/demo1/register.html	(from https://preview.itgeeksin.com/baby-house-html/demo1/index.html)
